codigo_dane,afil_contributivo,afil_subsidiado,year
19001,148517,176098,2019
19001,148517,176098,2020
19001,148517,176098,2021
19001,148517,176098,2022
19001,148517,176098,2023
19022,607,15099,2019
19022,607,15099,2020
19022,607,15099,2021
19022,607,15099,2022
19022,607,15099,2023
19050,678,26533,2019
19050,678,26533,2020
19050,678,26533,2021
19050,678,26533,2022
19050,678,26533,2023
19075,650,20537,2019
19075,650,20537,2020
19075,650,20537,2021
19075,650,20537,2022
19075,650,20537,2023
19100,1778,33794,2019
19100,1778,33794,2020
19100,1778,33794,2021
19100,1778,33794,2022
19100,1778,33794,2023
19110,1372,22913,2019
19110,1372,22913,2020
19110,1372,22913,2021
19110,1372,22913,2022
19110,1372,22913,2023
19130,1418,32396,2019
19130,1418,32396,2020
19130,1418,32396,2021
19130,1418,32396,2022
19130,1418,32396,2023
19137,1909,36055,2019
19137,1909,36055,2020
19137,1909,36055,2021
19137,1909,36055,2022
19137,1909,36055,2023
19142,3907,18719,2019
19142,3907,18719,2020
19142,3907,18719,2021
19142,3907,18719,2022
19142,3907,18719,2023
19212,4066,22995,2019
19212,4066,22995,2020
19212,4066,22995,2021
19212,4066,22995,2022
19212,4066,22995,2023
19256,2173,41485,2019
19256,2173,41485,2020
19256,2173,41485,2021
19256,2173,41485,2022
19256,2173,41485,2023
19290,265,5538,2019
19290,265,5538,2020
19290,265,5538,2021
19290,265,5538,2022
19290,265,5538,2023
19300,4850,7650,2019
19300,4850,7650,2020
19300,4850,7650,2021
19300,4850,7650,2022
19300,4850,7650,2023
19318,2685,20662,2019
19318,2685,20662,2020
19318,2685,20662,2021
19318,2685,20662,2022
19318,2685,20662,2023
19355,1517,24730,2019
19355,1517,24730,2020
19355,1517,24730,2021
19355,1517,24730,2022
19355,1517,24730,2023
19364,712,16245,2019
19364,712,16245,2020
19364,712,16245,2021
19364,712,16245,2022
19364,712,16245,2023
19392,484,9440,2019
19392,484,9440,2020
19392,484,9440,2021
19392,484,9440,2022
19392,484,9440,2023
19397,646,16459,2019
19397,646,16459,2020
19397,646,16459,2021
19397,646,16459,2022
19397,646,16459,2023
19418,432,11836,2019
19418,432,11836,2020
19418,432,11836,2021
19418,432,11836,2022
19418,432,11836,2023
19450,819,14198,2019
19450,819,14198,2020
19450,819,14198,2021
19450,819,14198,2022
19450,819,14198,2023
19455,8752,17055,2019
19455,8752,17055,2020
19455,8752,17055,2021
19455,8752,17055,2022
19455,8752,17055,2023
19473,1508,29518,2019
19473,1508,29518,2020
19473,1508,29518,2021
19473,1508,29518,2022
19473,1508,29518,2023
19513,1749,5263,2019
19513,1749,5263,2020
19513,1749,5263,2021
19513,1749,5263,2022
19513,1749,5263,2023
19517,1991,33502,2019
19517,1991,33502,2020
19517,1991,33502,2021
19517,1991,33502,2022
19517,1991,33502,2023
19532,3359,28857,2019
19532,3359,28857,2020
19532,3359,28857,2021
19532,3359,28857,2022
19532,3359,28857,2023
19533,495,8109,2019
19533,495,8109,2020
19533,495,8109,2021
19533,495,8109,2022
19533,495,8109,2023
19548,6230,32675,2019
19548,6230,32675,2020
19548,6230,32675,2021
19548,6230,32675,2022
19548,6230,32675,2023
19573,28248,24573,2019
19573,28248,24573,2020
19573,28248,24573,2021
19573,28248,24573,2022
19573,28248,24573,2023
19585,962,14761,2019
19585,962,14761,2020
19585,962,14761,2021
19585,962,14761,2022
19585,962,14761,2023
19622,702,8330,2019
19622,702,8330,2020
19622,702,8330,2021
19622,702,8330,2022
19622,702,8330,2023
19693,323,7783,2019
19693,323,7783,2020
19693,323,7783,2021
19693,323,7783,2022
19693,323,7783,2023
19698,38522,77018,2019
19698,38522,77018,2020
19698,38522,77018,2021
19698,38522,77018,2022
19698,38522,77018,2023
19701,355,3102,2019
19701,355,3102,2020
19701,355,3102,2021
19701,355,3102,2022
19701,355,3102,2023
19743,2473,31246,2019
19743,2473,31246,2020
19743,2473,31246,2021
19743,2473,31246,2022
19743,2473,31246,2023
19760,554,8687,2019
19760,554,8687,2020
19760,554,8687,2021
19760,554,8687,2022
19760,554,8687,2023
19780,1023,19687,2019
19780,1023,19687,2020
19780,1023,19687,2021
19780,1023,19687,2022
19780,1023,19687,2023
19785,293,6438,2019
19785,293,6438,2020
19785,293,6438,2021
19785,293,6438,2022
19785,293,6438,2023
19807,3816,26266,2019
19807,3816,26266,2020
19807,3816,26266,2021
19807,3816,26266,2022
19807,3816,26266,2023
19809,958,18876,2019
19809,958,18876,2020
19809,958,18876,2021
19809,958,18876,2022
19809,958,18876,2023
19821,1383,31951,2019
19821,1383,31951,2020
19821,1383,31951,2021
19821,1383,31951,2022
19821,1383,31951,2023
19824,1106,19045,2019
19824,1106,19045,2020
19824,1106,19045,2021
19824,1106,19045,2022
19824,1106,19045,2023
19845,5378,9142,2019
19845,5378,9142,2020
19845,5378,9142,2021
19845,5378,9142,2022
19845,5378,9142,2023
