codigo_dane,año,pirateria_terrest_mindef
19001,2019,3.0
19001,2022,1.0
19100,2022,1.0
19110,2023,1.0
19130,2019,6.0
19130,2020,1.0
19130,2021,2.0
19142,2021,1.0
19212,2019,2.0
19212,2020,4.0
19256,2020,1.0
19300,2021,1.0
19300,2022,2.0
19355,2022,1.0
19392,2021,1.0
19450,2019,3.0
19455,2022,2.0
19473,2022,2.0
19517,2021,2.0
19532,2019,3.0
19548,2020,1.0
19573,2019,1.0
19573,2021,3.0
19573,2022,2.0
19622,2022,3.0
19622,2023,1.0
19698,2019,1.0
19698,2020,2.0
19698,2021,1.0
19807,2019,2.0
19807,2020,1.0
19807,2022,1.0
19807,2023,1.0
19845,2020,3.0
19845,2022,1.0
19845,2023,1.0
