codigo_dane,año,robos_polinal
19001,2019,38.0
19001,2020,23.0
19001,2021,11.0
19001,2022,17.0
19001,2023,22.0
19075,2019,1.0
19110,2019,1.0
19110,2022,1.0
19110,2023,1.0
19130,2019,11.0
19130,2020,2.0
19130,2021,2.0
19130,2023,3.0
19137,2019,3.0
19142,2019,4.0
19142,2020,1.0
19142,2021,2.0
19212,2019,3.0
19212,2020,4.0
19212,2023,2.0
19256,2019,4.0
19256,2020,2.0
19256,2023,2.0
19300,2019,3.0
19300,2020,1.0
19300,2021,2.0
19300,2022,1.0
19355,2022,1.0
19392,2021,1.0
19392,2022,2.0
19397,2023,1.0
19450,2019,5.0
19450,2020,3.0
19450,2021,3.0
19450,2023,2.0
19473,2019,1.0
19473,2022,1.0
19513,2023,2.0
19517,2020,1.0
19517,2021,3.0
19532,2019,8.0
19532,2020,5.0
19532,2021,2.0
19532,2022,2.0
19532,2023,2.0
19548,2019,2.0
19548,2020,1.0
19548,2021,1.0
19548,2023,1.0
19573,2019,3.0
19573,2021,2.0
19573,2022,1.0
19585,2019,3.0
19585,2022,3.0
19585,2023,5.0
19622,2021,1.0
19622,2022,1.0
19622,2023,2.0
19693,2019,1.0
19698,2019,3.0
19698,2020,5.0
19698,2021,4.0
19698,2022,2.0
19698,2023,2.0
19743,2019,2.0
19743,2020,2.0
19743,2021,1.0
19760,2019,3.0
19760,2020,2.0
19760,2021,1.0
19760,2022,1.0
19785,2019,1.0
19807,2019,11.0
19807,2020,4.0
19807,2021,3.0
19807,2023,9.0
19824,2019,5.0
19824,2020,8.0
19824,2021,1.0
19824,2022,1.0
19824,2023,4.0
19845,2020,5.0
19845,2021,2.0
19845,2023,1.0
