codigo_dane,año,terrorismo_polinal
19001,2021,2.0
19001,2023,2.0
19050,2020,18.0
19050,2022,3.0
19075,2020,5.0
19075,2021,1.0
19110,2020,3.0
19110,2023,3.0
19130,2019,2.0
19130,2023,1.0
19137,2019,1.0
19137,2020,4.0
19142,2019,1.0
19142,2020,4.0
19142,2022,1.0
19212,2021,1.0
19212,2022,3.0
19256,2020,1.0
19256,2022,2.0
19318,2021,1.0
19355,2022,1.0
19364,2020,3.0
19418,2020,2.0
19455,2019,2.0
19455,2023,1.0
19513,2020,1.0
19513,2022,1.0
19532,2019,1.0
19532,2020,2.0
19532,2022,1.0
19533,2020,1.0
19573,2019,1.0
19622,2020,1.0
19698,2019,2.0
19698,2020,3.0
19698,2021,4.0
19698,2022,3.0
19760,2021,1.0
19780,2020,1.0
19780,2022,1.0
19807,2021,1.0
19821,2020,1.0
19821,2021,1.0
