dane_code,year,cantidad_coca_confiscada
19001,2019,700.8361800000001
19001,2020,2091.40515
19001,2021,1109.6784000000002
19001,2022,68.256
19001,2023,12.186499999999997
19050,2021,2.026
19075,2019,128.954
19075,2020,0.915
19075,2022,420.00899999999996
19075,2023,0.155
19100,2019,0.05
19100,2020,0.055
19100,2021,300.05699999999996
19100,2022,0.016
19110,2019,268.0
19110,2020,91.25
19110,2023,480.0
19130,2020,264.0
19130,2021,317.0
19130,2022,10.0
19130,2023,291.0
19137,2019,0.055
19137,2020,119.0
19142,2019,5.7
19142,2020,0.039
19142,2021,0.495
19142,2022,1958.5900000000001
19142,2023,1100.1
19212,2019,517.9190000000001
19212,2020,102.6
19212,2021,2353.7340000000004
19212,2022,1564.47
19212,2023,1511.245
19256,2019,4.9910000000000005
19256,2020,699.6129999999999
19256,2021,0.13
19256,2022,0.02
19256,2023,0.056999999999999995
19290,2019,0.069
19290,2020,2.145
19300,2019,0.14100000000000001
19300,2020,143.784
19300,2023,0.34
19318,2019,1562.28
19318,2020,0.00206
19318,2021,5497.0
19318,2023,0.02
19355,2022,74.0
19355,2023,222.01
19364,2019,45.0
19392,2019,0.8
19392,2020,0.592
19392,2022,0.87
19392,2023,16.282
19397,2022,0.006
19397,2023,0.016
19418,2019,600.0
19418,2021,3914.98
19450,2019,208.23000000000002
19450,2020,0.027
19450,2021,627.796
19450,2022,6.057
19455,2019,0.031
19455,2020,0.65
19455,2021,1.055
19455,2022,0.775
19455,2023,784.5630000000001
19473,2021,0.026
19513,2019,0.1
19513,2020,0.0905
19513,2021,0.115
19513,2023,86.2
19517,2020,0.912
19532,2019,34.21
19532,2020,353.6347
19532,2022,278.607
19532,2023,13.023
19533,2019,0.01
19533,2020,0.05
19533,2021,0.7
19533,2023,3.523
19548,2019,166.12900000000005
19548,2020,105.1
19548,2021,31.805
19548,2022,769.0360000000001
19548,2023,1407.0289999999998
19573,2019,0.8240000000000002
19573,2020,7.975
19573,2021,0.8640000000000003
19573,2022,1.077
19573,2023,0.748
19585,2023,9.958
19622,2019,0.01
19622,2020,165.0
19622,2022,907.0
19698,2019,418.273
19698,2020,4.405999999999999
19698,2021,148.97999999999996
19698,2022,5.202
19698,2023,2.206
19701,2020,3.339
19760,2019,11.0
19780,2019,670.183
19780,2020,0.16999999999999998
19780,2022,1511.0
19780,2023,4951.788
19785,2020,36.6
19807,2019,156.0678
19807,2020,500.051
19807,2021,95.13250000000001
19807,2022,168.15
19807,2023,0.2173
19809,2019,3723.5199999999995
19809,2020,3677.8890000000006
19809,2021,1500.0
19809,2023,340.0
19821,2019,331.79999999999995
19821,2020,42.0
19821,2021,2141.85
19821,2022,898.06
19824,2019,0.022
19845,2019,370.12699999999995
19845,2020,329.096
19845,2021,358.015
19845,2022,2.0
19845,2023,62.760999999999996
