codigo_dane,vict_por_declarac_uv,vict_ubicadas_uv,vict_en_atencion_uv,vict_por_eventos_uv,year
19001,207858.0,94266.0,85028.0,17026.0,2019
19001,207858.0,94266.0,85028.0,17026.0,2020
19001,207858.0,94266.0,85028.0,17026.0,2021
19001,207858.0,94266.0,85028.0,17026.0,2022
19001,207858.0,94266.0,85028.0,17026.0,2023
19022,3659.0,5231.0,3752.0,12195.0,2019
19022,3659.0,5231.0,3752.0,12195.0,2020
19022,3659.0,5231.0,3752.0,12195.0,2021
19022,3659.0,5231.0,3752.0,12195.0,2022
19022,3659.0,5231.0,3752.0,12195.0,2023
19050,24584.0,22659.0,20589.0,86209.0,2019
19050,24584.0,22659.0,20589.0,86209.0,2020
19050,24584.0,22659.0,20589.0,86209.0,2021
19050,24584.0,22659.0,20589.0,86209.0,2022
19050,24584.0,22659.0,20589.0,86209.0,2023
19075,7020.0,11042.0,10151.0,22590.0,2019
19075,7020.0,11042.0,10151.0,22590.0,2020
19075,7020.0,11042.0,10151.0,22590.0,2021
19075,7020.0,11042.0,10151.0,22590.0,2022
19075,7020.0,11042.0,10151.0,22590.0,2023
19100,2839.0,11582.0,10442.0,29903.0,2019
19100,2839.0,11582.0,10442.0,29903.0,2020
19100,2839.0,11582.0,10442.0,29903.0,2021
19100,2839.0,11582.0,10442.0,29903.0,2022
19100,2839.0,11582.0,10442.0,29903.0,2023
19110,13981.0,13976.0,12064.0,34285.0,2019
19110,13981.0,13976.0,12064.0,34285.0,2020
19110,13981.0,13976.0,12064.0,34285.0,2021
19110,13981.0,13976.0,12064.0,34285.0,2022
19110,13981.0,13976.0,12064.0,34285.0,2023
19130,3906.0,8044.0,7221.0,22766.0,2019
19130,3906.0,8044.0,7221.0,22766.0,2020
19130,3906.0,8044.0,7221.0,22766.0,2021
19130,3906.0,8044.0,7221.0,22766.0,2022
19130,3906.0,8044.0,7221.0,22766.0,2023
19137,6829.0,6919.0,5708.0,12754.0,2019
19137,6829.0,6919.0,5708.0,12754.0,2020
19137,6829.0,6919.0,5708.0,12754.0,2021
19137,6829.0,6919.0,5708.0,12754.0,2022
19137,6829.0,6919.0,5708.0,12754.0,2023
19142,11514.0,9954.0,8675.0,19887.0,2019
19142,11514.0,9954.0,8675.0,19887.0,2020
19142,11514.0,9954.0,8675.0,19887.0,2021
19142,11514.0,9954.0,8675.0,19887.0,2022
19142,11514.0,9954.0,8675.0,19887.0,2023
19212,9133.0,11684.0,9920.0,24952.0,2019
19212,9133.0,11684.0,9920.0,24952.0,2020
19212,9133.0,11684.0,9920.0,24952.0,2021
19212,9133.0,11684.0,9920.0,24952.0,2022
19212,9133.0,11684.0,9920.0,24952.0,2023
19256,12219.0,18649.0,16606.0,56896.0,2019
19256,12219.0,18649.0,16606.0,56896.0,2020
19256,12219.0,18649.0,16606.0,56896.0,2021
19256,12219.0,18649.0,16606.0,56896.0,2022
19256,12219.0,18649.0,16606.0,56896.0,2023
19290,2689.0,4656.0,4238.0,3203.0,2019
19290,2689.0,4656.0,4238.0,3203.0,2020
19290,2689.0,4656.0,4238.0,3203.0,2021
19290,2689.0,4656.0,4238.0,3203.0,2022
19290,2689.0,4656.0,4238.0,3203.0,2023
19300,868.0,1812.0,1566.0,1671.0,2019
19300,868.0,1812.0,1566.0,1671.0,2020
19300,868.0,1812.0,1566.0,1671.0,2021
19300,868.0,1812.0,1566.0,1671.0,2022
19300,868.0,1812.0,1566.0,1671.0,2023
19318,19628.0,18368.0,14830.0,40314.0,2019
19318,19628.0,18368.0,14830.0,40314.0,2020
19318,19628.0,18368.0,14830.0,40314.0,2021
19318,19628.0,18368.0,14830.0,40314.0,2022
19318,19628.0,18368.0,14830.0,40314.0,2023
19355,2085.0,2603.0,2304.0,7297.0,2019
19355,2085.0,2603.0,2304.0,7297.0,2020
