codigo_dane,anio,crimen_ambientales_mindef
19001,2019,18.0
19001,2020,7.0
19001,2021,12.0
19001,2022,9.0
19001,2023,5.0
19075,2019,1.0
19100,2019,2.0
19100,2020,1.0
19100,2021,2.0
19110,2019,1.0
19110,2020,5.0
19110,2021,6.0
19110,2023,1.0
19130,2020,2.0
19130,2021,5.0
19137,2019,3.0
19137,2020,1.0
19142,2019,1.0
19212,2019,1.0
19212,2020,1.0
19256,2019,6.0
19256,2020,3.0
19256,2021,3.0
19256,2022,2.0
19300,2019,3.0
19318,2019,3.0
19318,2020,1.0
19318,2021,1.0
19318,2022,1.0
19318,2023,2.0
19355,2019,1.0
19364,2022,1.0
19392,2019,1.0
19392,2020,1.0
19392,2021,2.0
19397,2019,2.0
19418,2019,3.0
19418,2020,2.0
19418,2023,3.0
19450,2019,3.0
19450,2023,1.0
19455,2019,1.0
19455,2020,1.0
19473,2020,3.0
19513,2021,2.0
19532,2019,1.0
19532,2020,1.0
19532,2022,1.0
19533,2020,2.0
19533,2021,6.0
19533,2022,1.0
19533,2023,1.0
19548,2019,8.0
19548,2020,1.0
19548,2023,1.0
19573,2019,1.0
19573,2020,5.0
19573,2021,1.0
19622,2019,1.0
19622,2020,1.0
19622,2021,1.0
19693,2020,1.0
19693,2021,1.0
19698,2019,9.0
19698,2020,16.0
19698,2021,16.0
19698,2022,7.0
19698,2023,13.0
19701,2020,1.0
19701,2021,1.0
19701,2022,1.0
19743,2021,1.0
19760,2019,1.0
19760,2020,1.0
19780,2020,1.0
19780,2021,1.0
19807,2019,3.0
19807,2020,1.0
19807,2021,1.0
19809,2019,3.0
19809,2020,2.0
19809,2021,1.0
19824,2019,1.0
19824,2020,3.0
19824,2021,1.0
19824,2022,3.0
19824,2023,1.0
19845,2019,4.0
19845,2021,1.0
19845,2023,2.0
