codigo_dane,year,cantidad_coca_cultivada
19022,2019,0
19022,2020,0
19022,2021,0
19022,2022,0
19022,2023,0
19050,2019,0
19050,2020,2549
19050,2021,0
19050,2022,3085
19050,2023,3085
19075,2019,321
19075,2020,293
19075,2021,561
19075,2022,499
19075,2023,499
19100,2019,4
19100,2020,9
19100,2021,194
19100,2022,78
19100,2023,78
19110,2019,442
19110,2020,507
19110,2021,930
19110,2022,794
19110,2023,794
19130,2019,355
19130,2020,235
19130,2021,325
19130,2022,364
19130,2023,364
19137,2019,0
19137,2020,0
19137,2021,66
19137,2022,76
19137,2023,76
19142,2019,18
19142,2020,9
19142,2021,8
19142,2022,7
19142,2023,7
19212,2019,10
19212,2020,8
19212,2021,11
19212,2022,8
19212,2023,8
19256,2019,0
19256,2020,7483
19256,2021,0
19256,2022,9223
19256,2023,9223
19290,2019,0
19290,2020,0
19290,2021,0
19290,2022,0
19290,2023,0
19318,2019,634
19318,2020,594
19318,2021,0
19318,2022,1558
19318,2023,1558
19364,2019,68
19364,2020,39
19364,2021,60
19364,2022,35
19364,2023,35
19392,2019,0
19392,2020,0
19392,2021,0
19392,2022,0
19392,2023,0
19397,2019,0
19397,2020,0
19397,2021,0
19397,2022,0
19397,2023,0
19418,2019,0
19418,2020,1085
19418,2021,0
19418,2022,1656
19418,2023,1656
19450,2019,0
19450,2020,0
19450,2021,45
19450,2022,25
19450,2023,25
19455,2019,58
19455,2020,34
19455,2021,38
19455,2022,30
19455,2023,30
19473,2019,361
19473,2020,393
19473,2021,648
19473,2022,783
19473,2023,783
19532,2019,376
19532,2020,485
19532,2021,865
19532,2022,1110
19532,2023,1110
19533,2019,0
19533,2020,867
19533,2021,0
19533,2022,2771
19533,2023,2771
19548,2019,0
19548,2020,0
19548,2021,8
19548,2022,12
19548,2023,12
19622,2019,0
19622,2020,0
19622,2021,10
19622,2022,12
19622,2023,12
19698,2019,0
19698,2020,5
19698,2021,356
19698,2022,166
19698,2023,166
19701,2019,54
19701,2020,0
19701,2021,0
19701,2022,68
19701,2023,68
19760,2019,0
19760,2020,0
19760,2021,0
19760,2022,0
19760,2023,0
19780,2019,501
19780,2020,668
19780,2021,804
19780,2022,923
19780,2023,923
19785,2019,4
19785,2020,8
19785,2021,46
19785,2022,28
19785,2023,28
19807,2019,0
19807,2020,0
19807,2021,0
19807,2022,1
19807,2023,1
19809,2019,0
19809,2020,1263
19809,2021,0
19809,2022,2896
19809,2023,2896
19821,2019,9
19821,2020,1
19821,2021,2
19821,2022,1
19821,2023,1
