codigo_dane,año,incaut_insumos_liq_mindef
19001,2019,9936.01
19001,2020,3059.0
19001,2021,1020.0
19001,2022,3200.0
19022,2019,3189.0
19022,2020,73.0
19022,2021,850.0
19022,2022,1064.0
19050,2019,480.0
19050,2020,660.0
19050,2021,10600.0
19050,2022,771.0
19050,2023,3675.0
19075,2019,9640.0
19075,2020,5922.0
19075,2023,15.0
19100,2019,8457.0
19100,2020,602.0
19100,2021,7474.0
19100,2022,3554.0
19100,2023,1824.0
19110,2019,19291.0
19110,2020,7175.0
19110,2021,1977.0
19110,2022,180.0
19110,2023,12951.0
19130,2019,1097.0
19130,2020,32.0
19130,2021,1020.0
19130,2022,31489.0
19130,2023,47617.0
19137,2019,67.0
19137,2020,6000.0
19137,2022,595.0
19137,2023,8257.0
19142,2019,712.0
19142,2020,225.0
19142,2021,340.0
19142,2022,6613.0
19142,2023,4415.0
19212,2019,2223.0
19212,2020,3350.0
19212,2021,12238.0
19212,2022,35320.0
19212,2023,7773.0
19256,2019,33585.0
19256,2020,29612.0
19256,2021,882.0
19256,2022,2711.0
19256,2023,9905.0
19290,2020,2510.0
19290,2021,60.0
19300,2020,305.0
19300,2022,110.0
19300,2023,80.0
19318,2019,220.0
19318,2020,3138.0
19318,2021,4726.0
19318,2022,8144.0
19318,2023,13069.0
19364,2019,3350.0
19364,2020,100.0
19364,2022,652.0
19364,2023,5497.0
19392,2019,466.0
19397,2022,20.0
19397,2023,242.0
19418,2019,924.6
19418,2020,3265.0
19418,2021,10.0
19418,2022,1583.0
19418,2023,2176.0
19450,2019,82973.0
19450,2020,18006.1
19450,2021,37852.0
19450,2022,52753.0
19450,2023,13030.0
19455,2019,2.0
19455,2023,5943.0
19473,2019,1887.0
19473,2020,3572.0
19473,2021,7400.0
19473,2022,697.0
19473,2023,3554.0
19517,2019,25.0
19532,2019,73401.0
19532,2020,81491.0
19532,2021,47710.0
19532,2022,3765.0
19532,2023,9167.0
19533,2019,1084.0
19533,2020,5460.0
19533,2021,2744.0
19533,2022,9807.0
19533,2023,20425.0
19548,2019,34849.0
19548,2020,66043.0
19548,2021,56630.0
19548,2022,26121.0
19548,2023,26888.0
19573,2020,35.0
19585,2023,3022.0
19622,2019,14917.0
19622,2020,33029.0
19622,2021,9626.0
19622,2022,27625.0
19622,2023,5409.0
19698,2019,14495.0
19698,2020,9813.0
19698,2021,58007.0
19698,2022,95559.0
19698,2023,17207.0
19701,2020,237.0
19701,2021,12827.0
19701,2022,4900.0
19701,2023,720.0
19760,2020,10000.0
19760,2023,6350.0
19780,2019,14220.0
19780,2020,11186.0
19780,2021,560.0
19780,2022,5524.0
19780,2023,24698.0
19785,2019,18.0
19785,2021,428.0
19785,2022,70.0
19785,2023,20.0
19807,2019,8154.0
19807,2020,14147.0
19807,2021,20828.0
19807,2022,3659.0
19807,2023,17651.0
19809,2019,4690.0
19809,2020,11103.0
19809,2021,943.0
19809,2022,5090.0
19809,2023,17421.0
19821,2019,11689.0
19821,2020,2901.0
19821,2021,4504.16
19821,2022,2850.0
19824,2019,6000.0
19824,2020,36.0
19824,2023,3680.0
19845,2019,13600.0
19845,2020,57674.0
19845,2021,34330.0
19845,2022,38579.0
19845,2023,4380.0
