codigo_dane,año,incautacion_drogas_poli
19001,2019,82886.764
19001,2020,61559.234
19001,2021,84305.086
19001,2022,87885.399
19001,2023,128867.435
19022,2021,10.108
19022,2023,84.0
19050,2021,608.252
19050,2022,1003.0
19075,2019,710.4
19075,2020,3348.0
19075,2021,1767.09
19075,2022,2959.634
19075,2023,2691.589
19100,2019,887.992
19100,2020,340.0
19100,2021,2372.992
19100,2022,1669.212
19100,2023,1490.931
19110,2019,6903.73
19110,2020,197.0
19110,2021,1638.5
19110,2022,40.0
19110,2023,10580.471
19130,2019,5999.4
19130,2020,13956.0
19130,2021,7846.0
19130,2022,6432.0
19130,2023,4973.192
19137,2019,2894.0
19137,2020,1498.0
19137,2022,1818.0
19137,2023,1000.0
19142,2019,21149.814
19142,2020,8791.236
19142,2021,41128.052
19142,2022,30752.96
19142,2023,39870.034
19212,2019,18151.48
19212,2020,11094.222
19212,2021,24312.094
19212,2022,23645.56
19212,2023,7894.819
19256,2019,1273.288
19256,2020,3088.41
19256,2021,2766.0
19256,2022,1472.0
19256,2023,7734.068
19290,2019,138.0
19290,2020,62.416
19290,2021,60.0
19300,2019,7325.108
19300,2020,9442.06
19300,2021,2692.0
19300,2022,1842.524
19300,2023,1055.901
19318,2019,60.0
19318,2020,1094.04
19318,2021,21708.574
19318,2022,12.63
19318,2023,54.4
19355,2019,1902.6
19355,2021,1610.0
19355,2022,343.8
19355,2023,6108.0
19364,2019,15580.866
19364,2020,5392.6
19364,2021,4002.0
19364,2022,3800.89
19364,2023,1752.0
19392,2020,1464.0
19392,2021,1150.0
19392,2022,700.0
19392,2023,384.58
19397,2022,12.0
19397,2023,48.0
19418,2019,2280.0
19418,2021,9248.0
19418,2022,2764.0
19418,2023,12474.0
19450,2019,4500.0
19450,2020,1125.0
19450,2021,4272.532
19450,2022,5227.5
19450,2023,6835.885
19455,2019,4801.876
19455,2020,6345.02
19455,2021,3969.428
19455,2022,8128.504
19455,2023,7985.972
19473,2019,1173.0
19473,2020,80.0
19473,2021,1466.0
19473,2022,1000.0
19473,2023,998.628
19513,2019,2587.0
19513,2020,6637.552
19513,2021,3544.0
19513,2022,11331.28
19513,2023,228.05
19517,2019,488.0
19517,2020,3014.0
19517,2021,6.0
19517,2023,1254.0
19532,2019,7337.346
19532,2020,15356.31
19532,2021,5947.386
19532,2022,6135.578
19532,2023,9757.43
19533,2019,1207.69
19533,2020,2254.328
19533,2021,3776.86
19533,2022,2467.686
19533,2023,19698.661
19548,2019,12260.93
19548,2020,32382.136
19548,2021,17950.96
19548,2022,16048.324
19548,2023,8514.648
19573,2019,12862.884
19573,2020,35027.854
19573,2021,13159.612
19573,2022,18928.746
19573,2023,21845.95
19585,2019,760.4
19585,2020,793.0
19585,2022,126.0
19585,2023,964.016
19622,2019,2603.1
19622,2020,6556.516
19622,2021,510.0
19622,2022,3204.4
19622,2023,1317.204
19693,2019,74.0
19698,2019,34487.952
19698,2020,53801.632
19698,2021,41165.514
19698,2022,43623.81
19698,2023,54946.636
19701,2020,1251.598
19701,2022,768.05
19701,2023,186.0
19743,2019,1566.68
19743,2020,42.0
19743,2021,409.0
19743,2022,556.0
19743,2023,3498.0
19760,2019,629.5
19760,2021,1720.0
19780,2019,5347.9
19780,2020,1171.76
19780,2021,1649.4
19780,2022,5288.49
19780,2023,6029.288
19785,2020,640.0
19785,2021,6.6
19785,2022,50.0
19785,2023,1409.0
19807,2019,2952.102
19807,2020,3430.22
19807,2021,4466.0
19807,2022,2090.0
19807,2023,2833.295
19809,2019,8144.0
19809,2020,18394.806
19809,2021,12482.0
19809,2022,6196.8
19809,2023,6028.96
19821,2019,2659.956
19821,2020,6173.004
19821,2021,12990.18
19821,2022,38684.586
19821,2023,39100.0
19824,2019,573.0
19824,2021,170.0
19824,2022,1605.55
19845,2019,8442.4
19845,2020,17349.348
19845,2021,17542.832
19845,2022,12502.09
19845,2023,22195.154
