dane_code,year,poblacion_5_16,tasa_matricula_5_16,cobertura_neta,cobertura_bruta,desercion,aprobacion
19001,2019,52309.0,102.66,102.52,116.22,2.37,95.31
19001,2020,51908.0,104.07,103.94,117.39,1.26,96.74
19001,2021,51501.0,103.36,103.28,117.16,2.17,91.04
19001,2022,51270.0,105.22,105.07,117.99,4.15,89.98
19001,2023,50989.0,106.27,106.12,117.83,2.96,91.17
19022,2019,3500.0,71.71,71.71,100.34,2.75,86.08
19022,2020,3418.0,69.13,69.13,78.5,2.4,89.31
19022,2021,3386.0,68.58,68.58,82.84,4.16,85.32
19022,2022,3457.0,64.1,64.1,77.87,4.08,88.63
19022,2023,3445.0,60.58,60.58,75.85,4.73,90.98
19050,2019,5489.0,101.73,101.73,118.64,7.31,83.77
19050,2020,5441.0,105.31,105.31,117.97,2.63,79.91
19050,2021,5406.0,103.51,103.51,117.83,4.87,88.55
19050,2022,5438.0,102.54,102.54,118.37,4.37,90.16
19050,2023,5423.0,98.47,98.47,113.24,4.36,91.2
19075,2019,4269.0,80.23,80.23,92.11,4.83,88.36
19075,2020,4226.0,79.82,79.82,88.59,2.01,89.83
19075,2021,4195.0,80.69,80.69,88.22,5.68,81.17
19075,2022,4190.0,79.14,79.14,87.68,4.63,91.32
19075,2023,4176.0,76.65,76.65,86.57,3.13,89.2
19100,2019,6538.0,88.13,88.13,137.73,2.07,94.6
19100,2020,6357.0,87.81,87.81,94.02,1.82,95.73
19100,2021,6299.0,90.05,90.05,100.79,2.98,91.76
19100,2022,6385.0,86.31,86.31,94.22,3.53,92.86
19100,2023,6361.0,80.32,80.32,113.28,2.57,94.09
19110,2019,7120.0,74.35,74.35,86.4,3.27,90.05
19110,2020,7070.0,74.85,74.85,82.11,1.7,94.15
19110,2021,703.0,76.67,76.67,84.48,3.02,90.6
19110,2022,7407.0,73.47,73.47,82.15,4.33,91.72
19110,2023,7403.0,69.4,69.4,75.21,2.68,92.51
19130,2019,9094.0,70.26,70.26,83.81,2.79,92.32
19130,2020,9023.0,73.08,73.08,81.2,1.1,94.42
19130,2021,8961.0,75.85,75.85,82.93,3.18,88.46
