cod_mpio,per_ipm_sisben,casos_trab_infan_sisben,per_tab_inf_sisben,per_haci_critico_sisben,year
19001,2277,2,3382,1288,2019
19001,2277,2,3382,1288,2020
19001,2277,2,3382,1288,2021
19001,2277,2,3382,1288,2022
19001,2277,2,3382,1288,2023
19022,4424,92,5582,70,2019
19022,4424,92,5582,70,2020
19022,4424,92,5582,70,2021
19022,4424,92,5582,70,2022
19022,4424,92,5582,70,2023
19050,3697,45,3993,503,2019
19050,3697,45,3993,503,2020
19050,3697,45,3993,503,2021
19050,3697,45,3993,503,2022
19050,3697,45,3993,503,2023
19075,1771,61,3976,261,2019
19075,1771,61,3976,261,2020
19075,1771,61,3976,261,2021
19075,1771,61,3976,261,2022
19075,1771,61,3976,261,2023
19100,3081,27,5440,50,2019
19100,3081,27,5440,50,2020
19100,3081,27,5440,50,2021
19100,3081,27,5440,50,2022
19100,3081,27,5440,50,2023
19110,852,20,2518,130,2019
19110,852,20,2518,130,2020
19110,852,20,2518,130,2021
19110,852,20,2518,130,2022
19110,852,20,2518,130,2023
19130,1952,82,3947,288,2019
19130,1952,82,3947,288,2020
19130,1952,82,3947,288,2021
19130,1952,82,3947,288,2022
19130,1952,82,3947,288,2023
19137,958,26,2582,210,2019
19137,958,26,2582,210,2020
19137,958,26,2582,210,2021
19137,958,26,2582,210,2022
19137,958,26,2582,210,2023
19142,1354,7,2549,558,2019
19142,1354,7,2549,558,2020
19142,1354,7,2549,558,2021
19142,1354,7,2549,558,2022
19142,1354,7,2549,558,2023
19212,1743,59,4097,246,2019
19212,1743,59,4097,246,2020
19212,1743,59,4097,246,2021
19212,1743,59,4097,246,2022
19212,1743,59,4097,246,2023
19256,1294,15,3497,358,2019
19256,1294,15,3497,358,2020
19256,1294,15,3497,358,2021
19256,1294,15,3497,358,2022
19256,1294,15,3497,358,2023
19290,871,17,2448,76,2019
19290,871,17,2448,76,2020
19290,871,17,2448,76,2021
19290,871,17,2448,76,2022
19290,871,17,2448,76,2023
19300,1156,17,3053,59,2019
19300,1156,17,3053,59,2020
19300,1156,17,3053,59,2021
19300,1156,17,3053,59,2022
19300,1156,17,3053,59,2023
19318,5659,72,7371,3620,2019
19318,5659,72,7371,3620,2020
19318,5659,72,7371,3620,2021
19318,5659,72,7371,3620,2022
19318,5659,72,7371,3620,2023
19355,1964,51,3700,31,2019
19355,1964,51,3700,31,2020
19355,1964,51,3700,31,2021
19355,1964,51,3700,31,2022
19355,1964,51,3700,31,2023
19392,2172,0,3133,426,2019
19392,2172,0,3133,426,2020
19392,2172,0,3133,426,2021
19392,2172,0,3133,426,2022
19392,2172,0,3133,426,2023
19397,2425,22,3436,318,2019
19397,2425,22,3436,318,2020
19397,2425,22,3436,318,2021
19397,2425,22,3436,318,2022
19397,2425,22,3436,318,2023
19418,1657,20,2639,433,2019
19418,1657,20,2639,433,2020
19418,1657,20,2639,433,2021
19418,1657,20,2639,433,2022
19418,1657,20,2639,433,2023
19450,1632,21,4251,30,2019
19450,1632,21,4251,30,2020
19450,1632,21,4251,30,2021
19450,1632,21,4251,30,2022
19450,1632,21,4251,30,2023
19455,969,18,2662,176,2019
19455,969,18,2662,176,2020
19455,969,18,2662,176,2021
19455,969,18,2662,176,2022
19455,969,18,2662,176,2023
