dane_code,year,cantidad_mariguana_confiscada
19001,2019,3114.7502699999977
19001,2020,5300.133300000003
19001,2021,5036.8031999999985
19001,2022,2232.34326
19001,2023,1401.7135999999998
19022,2023,0.042
19050,2021,2.6
19050,2022,0.5
19075,2019,13.32
19075,2020,0.03
19075,2021,1.4449999999999998
19075,2022,915.447
19075,2023,393.671
19100,2019,0.40900000000000003
19100,2020,0.115
19100,2021,0.245
19100,2022,0.813
19100,2023,0.582
19110,2019,973.24
19110,2020,4.36
19110,2021,14.7
19110,2023,706.0
19130,2019,4901.1
19130,2020,10958.75
19130,2021,3513.0
19130,2022,2226.5
19130,2023,831.591
19137,2019,1377.321
19137,2020,1969.0
19137,2022,750.0
19137,2023,510.0
19142,2019,14415.402000000002
19142,2020,13244.756000000001
19142,2021,40584.211
19142,2022,14474.862
19142,2023,22312.066
19212,2019,9359.392
19212,2020,7398.742
19212,2021,5342.974000000001
19212,2022,10098.150999999998
19212,2023,5159.5
19256,2019,4.258
19256,2020,75.373
19256,2021,767.282
19256,2022,961.361
19256,2023,1.009
19290,2021,30.0
19300,2019,2166.739
19300,2020,7684.581000000001
19300,2021,2696.05
19300,2022,1009.9949999999999
19300,2023,2309.7
19318,2021,4638.057
19318,2023,699.704
19355,2019,487.37
19355,2020,1.128
19355,2021,1567.7
19355,2022,280.11
19355,2023,2339.026
19364,2019,8870.233
19364,2020,4631.6
19364,2021,3225.0
19364,2022,1260.0
19364,2023,2871.0
19392,2020,2559.44
19392,2021,52.575
19392,2022,0.275
19392,2023,0.069
19418,2019,1519.0
19418,2020,205.0
19418,2023,7150.407
19450,2019,26.1348
19450,2020,291.875
19450,2021,668.22
19450,2022,316.11
19450,2023,915.5
19455,2019,866.16
19455,2020,2230.1229999999996
19455,2021,769.522
19455,2022,1256.9139
19455,2023,785.173
19473,2019,0.585
19473,2020,0.04
19473,2021,68.89
19473,2022,1.0
19513,2019,1324.4210000000003
19513,2020,1910.8476999999998
19513,2021,1462.2
19513,2022,5044.155000000001
19513,2023,69.0
19517,2019,3825.376
19517,2020,1374.2
19517,2021,3.0
19517,2023,632.0
19532,2019,730.64
19532,2020,6223.624999999999
19532,2021,1140.2030000000002
19532,2022,1241.637
19532,2023,903.638
19533,2020,0.427
19533,2021,1457.6
19533,2022,0.53
19533,2023,1.0
19548,2019,3865.3009999999995
19548,2020,13588.017
19548,2021,6629.969
19548,2022,5817.032999999999
19548,2023,1231.012
19573,2019,2475.1659999999997
19573,2020,5896.7946999999995
19573,2021,3235.583
19573,2022,10661.915
19573,2023,1218.747
19585,2019,380.2
19585,2020,27.869
19585,2022,0.063
19585,2023,314.7
19622,2019,363.987
19622,2020,2428.1589999999997
19622,2021,261.5
19622,2022,640.2
19622,2023,219.068
19693,2019,0.037
19698,2019,5234.439000000001
19698,2020,23199.984
19698,2021,19679.60500000001
19698,2022,2332.326999999999
19698,2023,3556.261
19701,2020,1230.042
19701,2022,94.15
19701,2023,26.03
19743,2019,1479.74
19743,2020,412.353
19743,2021,543.2
19743,2022,120.24799999999999
19743,2023,1166.0
19760,2019,314.75
19760,2020,400.0
19760,2021,860.0
19780,2019,1599.0900000000001
19780,2020,572.375
19780,2021,43.3
19780,2022,536.4
19780,2023,1000.0
19785,2020,0.32
19785,2021,3.3000000000000003
19785,2023,0.447
19807,2019,333.3839
19807,2020,323.12600000000003
19807,2021,431.455
19807,2022,544.5703000000001
19807,2023,3.5930000000000004
19809,2019,139.0
19809,2022,86.97
19821,2019,1040.29
19821,2020,6477.0
19821,2021,9724.0
19821,2022,22013.0
19821,2023,27104.0
19824,2019,264.5
19824,2021,85.0
19845,2019,1969.3715
19845,2020,5109.932999999999
19845,2021,8689.149000000001
19845,2022,3058.5789999999997
19845,2023,6627.008
