codigo_dane,ano,amenazas_casos_fiscalia,delitos_sexuales_casos_fiscalia,desaparicion_forzada_casos_fiscalia,desplazamiento_casos_fiscalia,estafa_casos_fiscalia,extorsion_casos_fiscalia,hurto_casos_fiscalia,personas_bienes_dih_casos_fiscalia,reclutamiento_ilicito_casos_fiscalia,violencia_intrafamiliar_casos_fiscalia,corrupcion_casos_fiscalia,homicidios_casos_fiscalia,lesiones_personales_casos_fiscalia,secuestro_casos_fiscalia,otros_delitos_casos_fiscalia
19001,2019,22,172,6,6,57,52,340,3,1,58,130,51,103,29,718
19001,2020,23,134,10,7,46,43,316,2,3,60,94,52,90,16,606
19001,2021,21,136,8,6,46,22,261,1,2,53,81,50,104,6,588
19001,2022,28,137,5,7,44,37,296,4,5,47,76,48,65,12,544
19001,2023,22,98,5,6,35,31,252,6,4,42,60,38,71,14,487
19022,2019,4,7,0,5,1,4,7,0,0,7,3,4,4,0,28
19022,2020,2,7,0,0,2,0,4,0,0,5,1,10,2,1,30
19022,2021,1,7,0,2,4,3,7,0,0,7,4,3,5,0,28
19022,2022,5,5,0,3,2,3,2,1,0,2,0,4,4,0,22
19022,2023,6,4,1,3,1,2,7,0,0,4,8,5,3,0,27
19050,2019,7,21,6,7,3,5,22,3,5,4,8,14,5,2,51
19050,2020,9,14,7,6,1,3,16,2,3,9,3,16,3,0,51
19050,2021,9,15,9,11,3,3,9,6,5,8,0,14,15,2,71
19050,2022,10,25,5,7,8,5,20,6,4,4,1,12,11,3,58
19050,2023,9,11,2,6,4,2,22,9,4,4,3,14,11,3,56
19075,2019,6,7,2,5,6,7,16,3,0,9,10,15,12,1,68
19075,2020,5,7,2,5,4,8,12,2,0,9,0,9,9,2,61
19075,2021,4,13,0,1,4,4,18,3,2,16,0,5,12,0,41
19075,2022,5,11,1,4,5,2,22,3,2,8,3,4,10,1,46
19075,2023,5,11,1,5,2,2,18,6,2,4,8,7,13,4,62
19100,2019,7,8,1,4,4,5,16,1,0,9,7,13,19,0,54
19100,2020,2,14,0,1,1,0,10,0,0,7,1,11,14,0,47
19100,2021,3,13,0,1,3,2,14,0,0,12,2,6,15,0,52
19100,2022,5,15,0,5,8,5,17,1,0,8,3,5,16,2,65
19100,2023,6,12,2,5,7,6,26,0,1,8,3,4,12,2,55
19110,2019,9,9,3,6,1,4,25,3,2,7,5,17,7,1,75
19110,2020,13,13,1,8,1,4,26,2,1,8,5,24,4,0,93
19110,2021,10,17,3,6,4,2,18,3,3,5,3,11,5,0,68
19110,2022,10,12,2,9,2,8,21,4,3,8,2,14,5,2,58
19110,2023,11,7,2,6,3,3,20,4,2,3,1,13,8,3,45
19130,2019,11,26,2,7,6,5,44,2,1,10,4,11,17,1,87
19130,2020,8,18,0,5,2,2,22,0,2,9,5,6,10,0,72
19130,2021,8,19,3,5,8,7,29,1,2,17,2,11,14,0,86
19130,2022,10,34,1,6,9,5,34,0,2,12,2,7,11,5,73
19130,2023,8,21,2,4,7,8,39,2,1,7,2,7,15,4,85
19137,2019,11,30,2,3,5,8,26,3,0,9,4,8,25,2,57
19137,2020,10,18,3,5,2,6,17,5,3,6,4,8,12,0,61
19137,2021,12,14,1,7,6,5,20,3,4,14,5,15,8,2,54
19137,2022,9,19,2,5,9,8,19,1,2,10,3,8,19,0,45
19137,2023,9,12,3,6,5,5,25,4,5,6,2,12,15,4,67
19142,2019,15,12,2,4,4,5,33,5,2,14,5,24,21,6,133
19142,2020,11,12,3,4,7,9,27,5,4,22,6,13,10,5,93
19142,2021,9,10,4,5,9,2,30,4,3,14,5,8,13,8,108
19142,2022,11,10,3,7,8,6,36,3,5,15,0,16,16,4,114
