cod_mpio,ano,hogares_sisbenizados,viviendas_sisbenizados
19001,2019,2578,2519
19001,2020,2578,2519
19001,2021,2578,2519
19001,2022,2578,2519
19001,2023,2578,2519
19022,2019,3419,2243
19022,2020,3419,2243
19022,2021,3419,2243
19022,2022,3419,2243
19022,2023,3419,2243
19050,2019,2289,2233
19050,2020,2289,2233
19050,2021,2289,2233
19050,2022,2289,2233
19050,2023,2289,2233
19075,2019,1586,1496
19075,2020,1586,1496
19075,2021,1586,1496
19075,2022,1586,1496
19075,2023,1586,1496
19100,2019,2263,1980
19100,2020,2263,1980
19100,2021,2263,1980
19100,2022,2263,1980
19100,2023,2263,1980
19110,2019,1543,1394
19110,2020,1543,1394
19110,2021,1543,1394
19110,2022,1543,1394
19110,2023,1543,1394
19130,2019,1710,1528
19130,2020,1710,1528
19130,2021,1710,1528
19130,2022,1710,1528
19130,2023,1710,1528
19137,2019,1574,1284
19137,2020,1574,1284
19137,2021,1574,1284
19137,2022,1574,1284
19137,2023,1574,1284
19142,2019,2185,2105
19142,2020,2185,2105
19142,2021,2185,2105
19142,2022,2185,2105
19142,2023,2185,2105
19212,2019,1703,1505
19212,2020,1703,1505
19212,2021,1703,1505
19212,2022,1703,1505
19212,2023,1703,1505
19256,2019,1317,1261
19256,2020,1317,1261
19256,2021,1317,1261
19256,2022,1317,1261
19256,2023,1317,1261
19290,2019,897,770
19290,2020,897,770
19290,2021,897,770
19290,2022,897,770
19290,2023,897,770
19300,2019,2264,1897
19300,2020,2264,1897
19300,2021,2264,1897
19300,2022,2264,1897
19300,2023,2264,1897
19318,2019,3163,2368
19318,2020,3163,2368
19318,2021,3163,2368
19318,2022,3163,2368
19318,2023,3163,2368
19355,2019,1755,1304
19355,2020,1755,1304
19355,2021,1755,1304
19355,2022,1755,1304
19355,2023,1755,1304
19392,2019,1341,1300
19392,2020,1341,1300
19392,2021,1341,1300
19392,2022,1341,1300
19392,2023,1341,1300
19397,2019,1449,1368
19397,2020,1449,1368
19397,2021,1449,1368
19397,2022,1449,1368
19397,2023,1449,1368
19418,2019,1153,1009
19418,2020,1153,1009
19418,2021,1153,1009
19418,2022,1153,1009
19418,2023,1153,1009
19450,2019,1565,1402
19450,2020,1565,1402
19450,2021,1565,1402
19450,2022,1565,1402
19450,2023,1565,1402
19455,2019,2174,2047
19455,2020,2174,2047
19455,2021,2174,2047
19455,2022,2174,2047
19455,2023,2174,2047
19473,2019,1601,1339
19473,2020,1601,1339
19473,2021,1601,1339
19473,2022,1601,1339
19473,2023,1601,1339
19513,2019,1350,1321
19513,2020,1350,1321
19513,2021,1350,1321
19513,2022,1350,1321
19513,2023,1350,1321
19517,2019,1025,972
19517,2020,1025,972
19517,2021,1025,972
19517,2022,1025,972
19517,2023,1025,972
19532,2019,1767,1682
19532,2020,1767,1682
19532,2021,1767,1682
19532,2022,1767,1682
19532,2023,1767,1682
19533,2019,1601,1600
19533,2020,1601,1600
19533,2021,1601,1600
19533,2022,1601,1600
19533,2023,1601,1600
19548,2019,2463,2415
19548,2020,2463,2415
19548,2021,2463,2415
19548,2022,2463,2415
19548,2023,2463,2415
19573,2019,1707,1612
19573,2020,1707,1612
19573,2021,1707,1612
19573,2022,1707,1612
19573,2023,1707,1612
19585,2019,1131,991
19585,2020,1131,991
19585,2021,1131,991
19585,2022,1131,991
19585,2023,1131,991
19622,2019,1351,1251
19622,2020,1351,1251
19622,2021,1351,1251
19622,2022,1351,1251
19622,2023,1351,1251
19693,2019,937,858
19693,2020,937,858
19693,2021,937,858
19693,2022,937,858
19693,2023,937,858
19698,2019,3297,2458
19698,2020,3297,2458
19698,2021,3297,2458
19698,2022,3297,2458
19698,2023,3297,2458
19701,2019,1133,996
19701,2020,1133,996
19701,2021,1133,996
19701,2022,1133,996
19701,2023,1133,996
19743,2019,971,842
19743,2020,971,842
19743,2021,971,842
19743,2022,971,842
19743,2023,971,842
19760,2019,1130,903
19760,2020,1130,903
19760,2021,1130,903
19760,2022,1130,903
19760,2023,1130,903
19780,2019,2021,1908
19780,2020,2021,1908
19780,2021,2021,1908
19780,2022,2021,1908
19780,2023,2021,1908
19785,2019,1148,1094
19785,2020,1148,1094
19785,2021,1148,1094
19785,2022,1148,1094
19785,2023,1148,1094
19807,2019,2033,1698
19807,2020,2033,1698
19807,2021,2033,1698
19807,2022,2033,1698
19807,2023,2033,1698
19809,2019,2345,2106
19809,2020,2345,2106
19809,2021,2345,2106
19809,2022,2345,2106
19809,2023,2345,2106
19824,2019,954,827
19824,2020,954,827
19824,2021,954,827
19824,2022,954,827
19824,2023,954,827
19845,2019,1814,1806
19845,2020,1814,1806
19845,2021,1814,1806
19845,2022,1814,1806
19845,2023,1814,1806
