codigo_dane,ano,total_solicitantes
19001,2019,468
19001,2020,468
19001,2021,468
19001,2022,468
19001,2023,468
19022,2019,107
19022,2020,107
19022,2021,107
19022,2022,107
19022,2023,107
19050,2019,461
19050,2020,461
19050,2021,461
19050,2022,461
19050,2023,461
19075,2019,165
19075,2020,165
19075,2021,165
19075,2022,165
19075,2023,165
19100,2019,299
19100,2020,299
19100,2021,299
19100,2022,299
19100,2023,299
19110,2019,198
19110,2020,198
19110,2021,198
19110,2022,198
19110,2023,198
19130,2019,969
19130,2020,969
19130,2021,969
19130,2022,969
19130,2023,969
19137,2019,69
19137,2020,69
19137,2021,69
19137,2022,69
19137,2023,69
19142,2019,70
19142,2020,70
19142,2021,70
19142,2022,70
19142,2023,70
19212,2019,107
19212,2020,107
19212,2021,107
19212,2022,107
19212,2023,107
19256,2019,893
19256,2020,893
19256,2021,893
19256,2022,893
19256,2023,893
19290,2019,14
19290,2020,14
19290,2021,14
19290,2022,14
19290,2023,14
19300,2019,11
19300,2020,11
19300,2021,11
19300,2022,11
19300,2023,11
19318,2019,97
19318,2020,97
19318,2021,97
19318,2022,97
19318,2023,97
19355,2019,99
19355,2020,99
19355,2021,99
19355,2022,99
19355,2023,99
19364,2019,21
19364,2020,21
19364,2021,21
19364,2022,21
19364,2023,21
19392,2019,109
19392,2020,109
19392,2021,109
19392,2022,109
19392,2023,109
19397,2019,335
19397,2020,335
19397,2021,335
19397,2022,335
19397,2023,335
19418,2019,129
19418,2020,129
19418,2021,129
19418,2022,129
19418,2023,129
19450,2019,208
19450,2020,208
19450,2021,208
19450,2022,208
19450,2023,208
19455,2019,70
19455,2020,70
19455,2021,70
19455,2022,70
19455,2023,70
19473,2019,463
19473,2020,463
19473,2021,463
19473,2022,463
19473,2023,463
19513,2019,8
19513,2020,8
19513,2021,8
19513,2022,8
19513,2023,8
19517,2019,160
19517,2020,160
19517,2021,160
19517,2022,160
19517,2023,160
19532,2019,287
19532,2020,287
19532,2021,287
19532,2022,287
19532,2023,287
19533,2019,469
19533,2020,469
19533,2021,469
19533,2022,469
19533,2023,469
19548,2019,55
19548,2020,55
19548,2021,55
19548,2022,55
19548,2023,55
19573,2019,31
19573,2020,31
19573,2021,31
19573,2022,31
19573,2023,31
19585,2019,84
19585,2020,84
19585,2021,84
19585,2022,84
19585,2023,84
19622,2019,153
19622,2020,153
19622,2021,153
19622,2022,153
19622,2023,153
19693,2019,75
19693,2020,75
19693,2021,75
19693,2022,75
19693,2023,75
19698,2019,232
19698,2020,232
19698,2021,232
19698,2022,232
19698,2023,232
19701,2019,398
19701,2020,398
19701,2021,398
19701,2022,398
19701,2023,398
19743,2019,146
19743,2020,146
19743,2021,146
19743,2022,146
19743,2023,146
19760,2019,45
19760,2020,45
19760,2021,45
19760,2022,45
19760,2023,45
19780,2019,131
19780,2020,131
19780,2021,131
19780,2022,131
19780,2023,131
19785,2019,68
19785,2020,68
19785,2021,68
19785,2022,68
19785,2023,68
19807,2019,201
19807,2020,201
19807,2021,201
19807,2022,201
19807,2023,201
19809,2019,99
19809,2020,99
19809,2021,99
19809,2022,99
19809,2023,99
19821,2019,62
19821,2020,62
19821,2021,62
19821,2022,62
19821,2023,62
19824,2019,87
19824,2020,87
19824,2021,87
19824,2022,87
19824,2023,87
19845,2019,8
19845,2020,8
19845,2021,8
19845,2022,8
19845,2023,8
