anio,codigo_dane,num_muertes_medlegal
2019,19001,159
2019,19022,3
2019,19050,37
2019,19075,10
2019,19100,16
2019,19110,23
2019,19130,34
2019,19137,12
2019,19142,40
2019,19212,49
2019,19256,38
2019,19290,5
2019,19300,13
2019,19318,2
2019,19355,10
2019,19364,2
2019,19392,7
2019,19397,2
2019,19418,8
2019,19450,9
2019,19455,23
2019,19473,18
2019,19513,16
2019,19517,13
2019,19532,50
2019,19533,7
2019,19548,30
2019,19573,78
2019,19585,5
2019,19622,40
2019,19693,1
2019,19698,188
2019,19701,5
2019,19743,11
2019,19760,1
2019,19780,44
2019,19785,3
2019,19807,16
2019,19809,3
2019,19821,26
2019,19824,3
2019,19845,25
2020,19001,162
2020,19022,8
2020,19050,86
2020,19075,11
2020,19100,21
2020,19110,43
2020,19130,28
2020,19137,17
2020,19142,41
2020,19212,56
2020,19256,89
2020,19290,1
2020,19300,17
2020,19318,2
2020,19355,5
2020,19364,1
2020,19392,5
2020,19397,3
2020,19418,8
2020,19450,23
2020,19455,31
2020,19473,21
2020,19513,7
2020,19517,18
2020,19532,42
2020,19533,4
2020,19548,28
2020,19573,60
2020,19585,2
2020,19622,23
2020,19693,1
2020,19698,134
2020,19701,4
2020,19760,4
2020,19780,42
2020,19807,24
2020,19809,8
2020,19821,22
2020,19824,8
2020,19845,25
2021,19001,187
2021,19022,2
2021,19050,89
2021,19075,19
2021,19100,17
2021,19110,45
2021,19130,15
2021,19137,30
2021,19142,38
2021,19212,54
2021,19256,61
2021,19290,12
2021,19300,21
2021,19318,6
2021,19355,13
2021,19364,3
2021,19392,9
2021,19397,9
2021,19418,3
2021,19450,20
2021,19455,43
2021,19473,19
2021,19513,8
2021,19517,20
2021,19532,75
2021,19533,5
2021,19548,32
2021,19573,63
2021,19585,8
2021,19622,4
2021,19693,1
2021,19698,153
2021,19701,5
2021,19743,7
2021,19760,4
2021,19780,45
2021,19785,2
2021,19807,19
2021,19809,3
2021,19821,16
2021,19824,9
2021,19845,21
2022,19001,218
2022,19022,4
2022,19050,53
2022,19075,25
2022,19100,33
2022,19110,48
2022,19130,35
2022,19137,41
2022,19142,43
2022,19212,46
2022,19256,73
2022,19290,6
2022,19300,22
2022,19318,21
2022,19355,10
2022,19364,4
2022,19392,8
2022,19397,3
2022,19418,4
2022,19450,24
2022,19455,46
2022,19473,30
2022,19513,12
2022,19517,14
2022,19532,58
2022,19533,13
2022,19548,45
2022,19573,84
2022,19585,6
2022,19622,12
2022,19693,1
2022,19698,208
2022,19701,6
2022,19743,12
2022,19760,2
2022,19780,40
2022,19785,6
2022,19807,35
2022,19809,12
2022,19821,21
2022,19824,3
2022,19845,31
2023,19001,187
2023,19022,4
2023,19050,41
2023,19075,33
2023,19100,28
2023,19110,29
2023,19130,39
2023,19137,26
2023,19142,61
2023,19212,72
2023,19256,56
2023,19290,6
2023,19300,41
2023,19318,12
2023,19355,8
2023,19364,6
2023,19392,8
2023,19397,7
2023,19418,3
2023,19450,24
2023,19455,51
2023,19473,20
2023,19513,9
2023,19517,10
2023,19532,63
2023,19533,14
2023,19548,32
2023,19573,73
2023,19585,11
2023,19622,10
2023,19693,3
2023,19698,210
2023,19701,2
2023,19743,15
2023,19760,5
2023,19780,45
2023,19785,8
2023,19807,20
2023,19809,11
2023,19821,22
2023,19824,10
2023,19845,26
