codigo_dane,anio,violencia_intrafamiliar_ml,violencia_interpersonal_ml,lesiones_accidentales_ml,presunto_delit_sexual_ml
19001,2019,910,1283,29,0
19001,2020,526,502,11,0
19001,2021,374,590,13,0
19001,2022,492,704,21,0
19001,2023,584,642,13,0
19022,2019,3,5,0,0
19022,2020,5,2,0,0
19022,2021,1,1,0,0
19022,2022,0,4,0,0
19022,2023,1,6,0,0
19050,2019,4,5,0,0
19050,2020,0,2,1,0
19050,2021,5,6,3,0
19050,2022,8,12,2,0
19050,2023,0,8,1,0
19075,2019,2,5,0,0
19075,2020,1,2,0,0
19075,2021,0,4,0,0
19075,2022,1,6,0,0
19075,2023,6,6,0,0
19100,2019,15,29,0,0
19100,2020,12,11,0,0
19100,2021,8,13,0,0
19100,2022,13,21,0,0
19100,2023,17,27,0,0
19110,2019,13,14,0,0
19110,2020,3,9,2,0
19110,2021,2,12,0,0
19110,2022,9,10,0,0
19110,2023,3,14,0,0
19130,2019,18,31,0,0
19130,2020,7,10,0,0
19130,2021,15,20,0,0
19130,2022,6,17,0,0
19130,2023,8,18,0,0
19137,2019,5,10,1,0
19137,2020,3,4,0,0
19137,2021,2,10,0,0
19137,2022,8,19,1,0
19137,2023,4,12,0,0
19142,2019,37,43,2,0
19142,2020,17,21,0,0
19142,2021,13,16,1,0
19142,2022,37,35,0,0
19142,2023,20,26,0,0
19212,2019,9,12,0,0
19212,2020,4,9,0,0
19212,2021,7,8,2,0
19212,2022,5,10,0,0
19212,2023,2,3,0,0
19256,2019,23,43,1,0
19256,2020,33,12,0,0
19256,2021,3,8,0,0
19256,2022,10,10,1,0
19256,2023,30,19,1,0
19290,2019,4,3,0,0
19290,2020,1,1,0,0
19290,2021,4,2,0,0
19290,2022,3,5,0,0
19290,2023,5,3,0,0
19300,2019,13,23,0,0
19300,2020,0,30,0,0
19300,2021,7,20,1,0
19300,2022,8,46,1,0
19300,2023,25,46,0,0
19318,2019,2,6,0,0
19318,2020,5,12,0,0
19318,2021,4,10,0,0
19318,2022,9,6,0,0
19318,2023,6,5,0,0
19355,2019,2,3,0,0
19355,2020,1,4,0,0
19355,2021,3,2,0,0
19355,2022,3,1,0,0
19355,2023,6,11,0,0
19364,2020,1,0,0,0
19364,2021,0,0,0,0
19364,2022,1,1,0,0
19364,2023,1,6,1,0
19392,2019,4,10,0,0
19392,2020,5,6,0,0
19392,2021,2,2,0,0
19392,2022,1,8,0,0
19392,2023,2,9,0,0
19397,2019,7,19,3,0
19397,2020,11,2,0,0
19397,2021,4,4,1,0
19397,2022,1,4,0,0
19397,2023,3,5,0,0
19418,2019,2,2,0,0
19418,2020,0,1,0,0
19418,2021,0,0,0,0
19418,2022,1,0,0,0
19450,2019,7,11,1,0
19450,2020,5,1,1,0
19450,2021,8,11,0,0
19450,2022,10,11,0,0
19450,2023,3,12,0,0
19455,2019,10,31,1,0
19455,2020,11,8,3,0
19455,2021,17,27,0,0
19455,2022,14,28,0,0
19455,2023,9,31,0,0
19473,2019,3,5,1,0
19473,2020,4,5,0,0
19473,2021,3,4,0,0
19473,2022,6,4,0,0
19473,2023,4,5,0,0
19513,2019,11,15,0,0
19513,2020,1,9,1,0
19513,2021,5,11,0,0
19513,2022,7,14,0,0
19513,2023,3,15,0,0
19517,2019,1,5,0,0
19517,2020,2,1,0,0
19517,2021,0,0,0,0
19517,2022,1,11,0,0
19517,2023,1,7,0,0
19532,2019,16,50,2,0
19532,2020,12,58,3,0
19532,2021,7,25,2,0
19532,2022,36,80,1,0
19532,2023,39,61,1,0
19533,2019,3,0,0,0
19533,2020,1,2,0,0
19533,2021,7,4,0,0
19533,2022,1,1,0,0
19533,2023,1,9,0,0
19548,2019,6,18,1,0
19548,2020,3,7,1,0
19548,2021,3,19,0,0
19548,2022,12,43,0,0
19548,2023,8,30,0,0
19573,2019,34,93,3,0
19573,2020,10,42,2,0
19573,2021,27,49,0,0
19573,2022,29,101,0,0
19573,2023,44,88,1,0
19585,2019,7,15,0,0
19585,2020,3,3,0,0
19585,2021,2,8,0,0
19585,2022,6,16,0,0
19585,2023,10,14,0,0
19622,2019,8,16,0,0
19622,2020,1,4,0,0
19622,2021,2,8,0,0
19622,2022,5,16,0,0
19622,2023,2,3,0,0
19693,2019,0,0,0,0
19693,2020,1,4,0,0
19693,2021,1,3,0,0
19693,2022,2,2,1,0
19693,2023,3,11,1,0
19698,2019,156,233,10,0
19698,2020,67,90,0,0
19698,2021,91,132,2,0
19698,2022,139,168,0,0
19698,2023,134,174,3,0
19701,2019,1,1,1,0
19701,2020,0,6,0,0
