dane_code,year_of_incident,reporte_desap_medlegal
19001,2019,18
19001,2020,16
19001,2021,26
19001,2022,13
19001,2023,40
19050,2019,7
19050,2020,6
19050,2021,5
19050,2022,5
19050,2023,1
19075,2020,1
19075,2023,4
19100,2020,1
19100,2023,2
19110,2019,1
19110,2020,1
19110,2021,2
19110,2022,2
19130,2019,2
19130,2020,1
19130,2021,1
19130,2022,1
19130,2023,3
19137,2020,2
19137,2021,1
19137,2022,7
19137,2023,2
19142,2020,6
19142,2021,2
19142,2022,1
19142,2023,5
19212,2019,4
19212,2020,1
19212,2021,6
19212,2022,3
19212,2023,2
19256,2019,1
19256,2020,4
19256,2021,3
19256,2022,2
19290,2019,1
19300,2023,1
19318,2019,1
19318,2020,2
19318,2021,1
19318,2022,4
19318,2023,1
19355,2019,1
19355,2022,2
19355,2023,5
19392,2020,1
19397,2021,1
19397,2023,4
19418,2020,3
19418,2021,4
19450,2019,2
19450,2021,1
19450,2022,1
19455,2019,1
19455,2020,1
19455,2021,3
19455,2022,2
19473,2019,2
19473,2020,1
19473,2022,1
19473,2023,1
19513,2023,1
19517,2019,4
19517,2020,3
19517,2022,1
19517,2023,2
19532,2019,8
19532,2020,2
19532,2021,4
19532,2022,3
19533,2021,1
19548,2020,1
19548,2021,3
19548,2022,2
19548,2023,3
19573,2019,2
19573,2021,1
19573,2022,1
19585,2023,1
19622,2019,1
19622,2020,3
19622,2021,1
19698,2019,2
19698,2020,2
19698,2021,5
19698,2022,9
19698,2023,10
19701,2021,1
19743,2019,1
19780,2019,3
19780,2020,2
19780,2021,2
19780,2022,3
19780,2023,2
19807,2019,1
19807,2021,1
19807,2022,4
19807,2023,1
19809,2019,1
19809,2021,4
19809,2022,1
19809,2023,2
19821,2019,2
19821,2020,1
19821,2021,3
19821,2022,2
19821,2023,1
19824,2023,1
19845,2021,1
