dane_code,year,total_injured_civilians,total_victims,case_count
19001,2019,1.0,2.0,2
19001,2020,0.0,3.0,3
19001,2021,0.0,2.0,4
19001,2022,0.0,1.0,2
19001,2023,0.0,1.0,2
19022,2019,0.0,1.0,1
19022,2020,0.0,1.0,1
19050,2019,0.0,8.0,7
19050,2020,7.0,48.0,38
19050,2021,0.0,47.0,23
19050,2022,0.0,7.0,10
19050,2023,0.0,7.0,10
19075,2019,7.0,6.0,4
19075,2020,1.0,3.0,2
19075,2021,0.0,1.0,1
19075,2022,0.0,4.0,3
19075,2023,0.0,4.0,3
19100,2019,1.0,3.0,2
19100,2020,1.0,5.0,3
19100,2021,0.0,3.0,1
19100,2022,0.0,1.0,2
19100,2023,0.0,1.0,2
19110,2019,0.0,5.0,3
19110,2020,7.0,23.0,14
19110,2021,0.0,8.0,6
19110,2022,1.0,5.0,4
19110,2023,1.0,5.0,4
19130,2019,1.0,2.0,3
19130,2020,0.0,1.0,1
19130,2021,0.0,2.0,3
19137,2019,0.0,3.0,1
19137,2020,0.0,6.0,4
19137,2021,0.0,5.0,7
19137,2022,0.0,0.0,1
19137,2023,0.0,0.0,1
19142,2019,6.0,13.0,12
19142,2020,4.0,16.0,16
19142,2021,0.0,10.0,14
19142,2022,0.0,1.0,2
19142,2023,0.0,1.0,2
19212,2019,1.0,14.0,12
19212,2020,1.0,16.0,15
19212,2021,43.0,9.0,8
19212,2022,0.0,1.0,4
19212,2023,0.0,1.0,4
19256,2019,0.0,3.0,2
19256,2020,1.0,32.0,21
19256,2021,0.0,3.0,3
19256,2022,6.0,16.0,10
19256,2023,6.0,16.0,10
19290,2021,1.0,4.0,1
19300,2020,0.0,1.0,1
19300,2021,0.0,1.0,1
19318,2019,2.0,14.0,10
19318,2020,0.0,13.0,6
19318,2021,3.0,2.0,4
19318,2022,0.0,2.0,2
19318,2023,0.0,2.0,2
19355,2020,0.0,3.0,2
19355,2021,1.0,7.0,3
19364,2019,0.0,2.0,2
19364,2020,0.0,1.0,1
19364,2021,0.0,1.0,3
19397,2020,0.0,0.0,1
19397,2021,0.0,1.0,1
19418,2019,0.0,7.0,4
19418,2020,1.0,6.0,4
19418,2022,0.0,1.0,1
19418,2023,0.0,1.0,1
19450,2019,0.0,2.0,1
19450,2020,1.0,11.0,5
19450,2021,0.0,1.0,1
19455,2019,0.0,7.0,4
19455,2020,1.0,8.0,6
19455,2021,0.0,2.0,2
19455,2022,0.0,4.0,3
19455,2023,0.0,4.0,3
19473,2019,1.0,1.0,3
19473,2020,1.0,7.0,9
19473,2021,0.0,2.0,2
19517,2019,0.0,8.0,7
19517,2020,0.0,4.0,5
19517,2021,0.0,2.0,2
19532,2019,0.0,7.0,5
19532,2020,0.0,6.0,5
19532,2021,0.0,0.0,1
19532,2022,0.0,0.0,1
19532,2023,0.0,0.0,1
19533,2019,0.0,4.0,2
19533,2020,2.0,5.0,5
19533,2021,0.0,3.0,1
19548,2020,1.0,0.0,2
19573,2020,0.0,1.0,1
19622,2020,0.0,1.0,1
19698,2019,1.0,4.0,6
19698,2020,1.0,11.0,7
19698,2021,5.0,14.0,8
19698,2022,1.0,3.0,4
19698,2023,1.0,3.0,4
19780,2019,3.0,13.0,13
19780,2020,0.0,18.0,10
19780,2021,0.0,4.0,5
19780,2022,0.0,1.0,2
19780,2023,0.0,1.0,2
19807,2022,0.0,0.0,1
19807,2023,0.0,0.0,1
19809,2019,0.0,1.0,1
19809,2020,0.0,1.0,2
19809,2021,0.0,0.0,1
19809,2022,0.0,3.0,1
19809,2023,0.0,3.0,1
19821,2019,6.0,13.0,10
19821,2020,2.0,13.0,13
19821,2021,8.0,2.0,4
19821,2022,0.0,1.0,1
19821,2023,0.0,1.0,1
19824,2020,0.0,4.0,4
19845,2019,0.0,1.0,1
