year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2019,19001,767.0,467.0,22.0,42.0,551.0,163.0,4803.0,1.0,0.0,1741.0,293.0,369.0,1882.0,55.0,3194.0
2019,19022,113.0,8.0,0.0,113.0,1.0,6.0,4.0,0.0,0.0,18.0,0.0,15.0,11.0,0.0,24.0
2019,19050,135.0,224.0,106.0,178.0,3.0,104.0,26.0,100.0,6.0,16.0,2.0,76.0,11.0,1.0,139.0
2019,19075,15.0,11.0,2.0,16.0,4.0,9.0,16.0,0.0,0.0,5.0,1.0,39.0,12.0,1.0,22.0
2019,19100,9.0,9.0,1.0,11.0,6.0,5.0,17.0,2.0,0.0,24.0,2.0,44.0,53.0,0.0,123.0
2019,19110,93.0,6.0,3.0,31.0,1.0,5.0,55.0,0.0,2.0,25.0,3.0,52.0,52.0,1.0,57.0
2019,19130,57.0,55.0,4.0,34.0,9.0,7.0,49.0,1.0,1.0,44.0,5.0,53.0,69.0,0.0,107.0
2019,19137,97.0,37.0,1.0,17.0,7.0,6.0,47.0,1.0,0.0,23.0,2.0,23.0,47.0,1.0,33.0
2019,19142,281.0,15.0,2.0,21.0,11.0,14.0,163.0,3.0,4.0,89.0,1.0,86.0,99.0,4.0,248.0
2019,19212,81.0,12.0,10.0,62.0,5.0,6.0,59.0,0.0,5.0,18.0,4.0,93.0,26.0,4.0,71.0
2019,19256,139.0,64.0,32.0,75.0,19.0,11.0,105.0,2.0,5.0,56.0,21.0,144.0,107.0,3.0,278.0
2019,19290,18.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,8.0,8.0,0.0,11.0
2019,19300,23.0,6.0,0.0,0.0,7.0,2.0,143.0,0.0,0.0,46.0,2.0,34.0,98.0,0.0,115.0
2019,19318,33.0,18.0,4.0,19.0,6.0,8.0,18.0,2.0,1.0,21.0,2.0,40.0,40.0,1.0,54.0
2019,19355,24.0,13.0,0.0,12.0,3.0,2.0,19.0,0.0,1.0,29.0,0.0,22.0,34.0,0.0,33.0
